path,group,duration_s,bpm,rms_db,rms_p90_db,centroid_hz,onset,low_ratio,error
"ProgressiveHouse/_played-before/081 - PREMIERE： Callecat, Nick Varon - Beyond Perceptions (Hernan Cattaneo & Jamie Stevens Remix) [Manual] - 2024.mp3",_played-before,475.0,123.0,-11.23,-5.86,2681.0,2.07,0.8373,
ProgressiveHouse/_played-before/082 - PREMIERE： Dmitry Molosh - Dreaming (Original Mix) [Protagonist Recordings] - 2025.mp3,_played-before,448.8,123.0,-10.54,-5.7,2356.0,1.984,0.8329,
ProgressiveHouse/_played-before/083 - PREMIERE： Simos Tagias - Strange to Ourselves (Tonaco Remix) [Vapour Recordings] - 2024.mp3,_played-before,461.8,121.0,-12.52,-6.31,2456.0,1.832,0.8113,
ProgressiveHouse/_played-before/084 - PREMIERE： Sunar - Desert Rose (Molac Remix) [Songuara] - 2024.mp3,_played-before,415.7,123.0,-12.29,-6.58,2327.0,2.396,0.7222,
ProgressiveHouse/_played-before/085 - PROFF - Snowflake (ABGT584) - 2024.mp3,_played-before,290.4,122.1,-16.25,-10.02,1722.0,1.477,0.7216,
"ProgressiveHouse/_played-before/086 - PROFF, M.O.S. - Namtso (ABGT602) - 2024.mp3",_played-before,343.2,123.0,-13.56,-7.42,2085.0,1.848,0.5748,
ProgressiveHouse/_played-before/087 - Premiere： HAFT - Kaleidoscope (Maze 28 & EMPHI Remix) [Movement Recordings] - 2026.mp3,_played-before,406.0,121.0,-9.03,-5.57,2057.0,2.287,0.8566,
ProgressiveHouse/_played-before/088 - RIGOONI - Petrichor - 2021.mp3,_played-before,466.2,120.0,-15.54,-8.09,2929.0,1.998,0.6765,
ProgressiveHouse/_played-before/089 - RIGOONI - When Midnight Comes (Alex O'Rion Remix) - 2020.mp3,_played-before,520.1,120.0,-12.31,-6.0,2800.0,2.118,0.7481,
ProgressiveHouse/_played-before/090 - Rafa Polo — The Sands - 2025.mp3,_played-before,366.0,122.0,-13.32,-7.14,2485.0,1.877,0.5522,
ProgressiveHouse/_played-before/091 - Ric Niels - Ikigai (Original Mix) [The Soundgarden] - 2022.mp3,_played-before,492.0,121.0,-12.33,-5.87,2713.0,2.049,0.6543,
ProgressiveHouse/_played-before/092 - SHAMUËL - Zen Beach (Original Mix) - 2026.mp3,_played-before,394.5,119.0,-15.24,-9.19,2787.0,2.544,0.7642,
ProgressiveHouse/_played-before/093 - Sebastian Sellares - Timeless Era - 2024.mp3,_played-before,224.5,122.0,-12.63,-5.84,2773.0,1.743,0.5104,
ProgressiveHouse/_played-before/094 - Sebastien Leger - Ariana (Original Mix) [Lost Miracle] - 2023.mp3,_played-before,489.9,122.0,-9.54,-4.53,2723.0,2.246,0.7114,
"ProgressiveHouse/_played-before/095 - Serious Dancers, Tim Green - Callahan (Tim Green Edit) - 2023.mp3",_played-before,569.2,122.0,-12.51,-7.13,2922.0,2.259,0.7822,
ProgressiveHouse/_played-before/096 - Shai T - Gates of Thēbai (Original Mix) [DO NOT SIT ON THE FURNITURE RECORDINGS] - 2021.mp3,_played-before,413.2,122.0,-12.1,-7.9,2447.0,1.688,0.5636,
ProgressiveHouse/_played-before/097 - Simon Vuarambon - Lazos - 2021.mp3,_played-before,516.4,120.0,-11.65,-5.87,2402.0,2.349,0.7987,
"ProgressiveHouse/_played-before/098 - Soul Engineers, Broken Adam - Kalkan (Extended Mix) - 2024.mp3",_played-before,491.0,122.0,-13.06,-7.08,2252.0,2.076,0.5928,
ProgressiveHouse/_played-before/099 - Teklix - Alchemist (Original Mix) [Outta Limits] - 2022.mp3,_played-before,460.6,123.0,-13.06,-9.12,2778.0,1.829,0.473,
ProgressiveHouse/_played-before/100 - Tim Green - To Know Nothing - 2020.mp3,_played-before,511.8,121.0,-13.99,-7.34,2808.0,1.767,0.755,
ProgressiveHouse/_played-before/101 - Way Out West - Future Perfect (Henry Saiz Mix) - 2014.mp3,_played-before,602.0,126.0,-11.2,-7.68,2184.0,1.754,0.7617,
ProgressiveHouse/_played-before/102 - Weird Sounding Dude - Hyper Dream (ABGT457) - 2021.mp3,_played-before,379.6,121.0,-13.81,-8.56,2217.0,1.775,0.4497,
