path,group,duration_s,bpm,rms_db,rms_p90_db,centroid_hz,onset,low_ratio,error
MelodicHouse/135 - Shingo Nakamura & Stendahl - Time - 2024.mp3,new,201.6,119.0,-12.6,-6.91,1625.0,1.647,0.5148,
MelodicHouse/136 - Shingo Nakamura & Warung - Worlds Apart - 2025.mp3,new,187.5,120.0,-11.64,-8.85,1846.0,1.388,0.748,
MelodicHouse/137 - Shingo Nakamura - Come Closer - 2023.mp3,new,238.0,121.0,-13.7,-8.65,1673.0,1.333,0.5614,
MelodicHouse/138 - Shingo Nakamura - Falling Off - 2022.mp3,new,226.0,119.0,-13.67,-8.75,1769.0,1.391,0.7723,
MelodicHouse/139 - Shingo Nakamura - Focus - 2022.mp3,new,238.0,118.0,-13.77,-8.38,2323.0,1.568,0.6364,
MelodicHouse/140 - Shingo Nakamura - Golden Leaves - 2023.mp3,new,187.2,118.0,-13.68,-8.58,1904.0,1.513,0.6434,
MelodicHouse/141 - Shingo Nakamura - Phenomena - 2021.mp3,new,200.0,120.0,-12.77,-7.12,2224.0,1.44,0.6275,
MelodicHouse/142 - Sound Quelle - Aklana - 2024.mp3,new,203.5,120.0,-10.91,-6.62,2303.0,1.649,0.7982,
MelodicHouse/143 - Sound Quelle - Lastecostra - 2023.mp3,new,200.5,114.0,-11.7,-8.31,2313.0,1.656,0.6608,
MelodicHouse/144 - Sound Quelle - Melancholy Strings - 2021.mp3,new,229.0,121.0,-12.51,-6.12,1750.0,1.629,0.6766,
MelodicHouse/145 - Stendahl - Austrumi - 2022.mp3,new,221.3,117.0,-12.56,-8.08,1689.0,1.582,0.6845,
MelodicHouse/146 - Stendahl - Make You Mine - 2025.mp3,new,153.5,118.0,-13.36,-5.94,1707.0,1.974,0.7582,
MelodicHouse/147 - Stendahl - Parhelion - 2022.mp3,new,349.5,119.0,-13.83,-8.53,1844.0,1.59,0.78,
MelodicHouse/148 - TOMB & LAR - Trails - 2023.mp3,new,201.5,120.0,-13.51,-8.89,1818.0,1.862,0.5798,
MelodicHouse/149 - TOMB - Unbound - 2023.mp3,new,223.5,117.0,-11.85,-7.98,1603.0,1.776,0.742,
MelodicHouse/150 - Vintage & Morelli x Arielle Maren w_ RNX - Lonely Shore (Blood Groove & Kikis Remix) - 2020.mp3,new,392.0,120.0,-14.49,-8.93,2414.0,1.416,0.4786,
MelodicHouse/151 - oncor - By Myself - 2025.mp3,new,185.0,118.0,-10.84,-7.23,1836.0,1.77,0.7804,
MelodicHouse/152 - oncor - Find Yourself Again - 2025.mp3,new,139.0,120.0,-13.23,-7.3,2173.0,1.418,0.7208,
MelodicHouse/153 - rshand & Birø - Chrome - 2025.mp3,new,132.3,122.0,-12.09,-6.51,1382.0,1.903,0.7659,
MelodicHouse/154 - rshand - Adore - 2025.mp3,new,167.5,120.0,-12.55,-6.01,1949.0,1.725,0.5675,
MelodicHouse/155 - rshand - Leave It All - 2024.mp3,new,218.6,120.0,-13.14,-8.46,1917.0,1.582,0.6991,
MelodicHouse/156 - rshand - November - 2025.mp3,new,252.0,120.0,-9.66,-5.5,2244.0,1.68,0.7002,
MelodicHouse/157 - rshand - Overthinking - 2025.mp3,new,183.0,118.0,-11.59,-6.89,1376.0,1.834,0.7488,
MelodicHouse/158 - rshand - Unworthy - 2025.mp3,new,151.0,120.0,-12.45,-7.51,2051.0,1.918,0.5651,
MelodicHouse/159 - terro & TMPST - Halcyon - 2025.mp3,new,181.0,120.0,-12.17,-7.08,1633.0,1.405,0.6937,
MelodicHouse/160 - terro & TMPST - Never Let You Go - 2025.mp3,new,176.5,123.0,-11.84,-7.51,1959.0,1.601,0.5896,
MelodicHouse/161 - zensei & Delaney Kai - sound therapy - 2024.mp3,new,250.0,118.0,-12.64,-8.9,2236.0,1.45,0.4964,
MelodicHouse/162 - zensei - Marina del Rey - 2024.mp3,new,227.8,118.0,-12.35,-8.89,2351.0,1.761,0.703,
